"Source:","C:\Users\Dell Xps\Documents\guitar\guitar.sch"
"Date:","3/15/2021 6:39:24 PM"
"Tool:","Eeschema (5.1.8)-1"
"Generator:","D:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","164"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","A1","Arduino_UNO_R3","MCU_Module:Arduino_UNO_R3","Module:Arduino_UNO_R3","https://www.arduino.cc/en/Main/arduinoBoardUno"
"","","BT1","Battery","Device:Battery","Battery:BatteryHolder_Eagle_12BH611-GR","~"
"","","D1","1-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D2","2-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D3","3-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D4","4-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D5","5-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D6","6-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D7","7-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D8","8-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D9","9-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D10","10-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D11","11-12","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D12","1-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D13","2-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D14","3-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D15","4-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D16","5-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D17","6-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D18","7-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D19","8-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D20","9-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D21","10-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D22","12-11","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D23","1-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D24","2-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D25","3-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D26","4-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D27","5-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D28","6-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D29","7-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D30","8-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D31","9-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D32","11-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D33","12-10","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D34","1-9","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D35","2-9","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D36","3-9","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D37","4-9","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D38","5-9","Device:LED","LED_SMD:LED_0603_1608Metric","~"
"","","D39","6-9","Device:LED","LED_SMD:LED_0603_1608Metric","~"
